Rentrée scolaire;Code région académique;Code région Insee;Région académique;Code académie;Académie;Code département;Département;Code Postal;Commune;Numéro de l'école;Dénomination principale;Patronyme;Secteur;REP;REP +;Nombre total de classes;Nombre total d'élèves;Nombre d'élèves en pré-élémentaire hors ULIS;Nombre d'élèves en élémentaire hors ULIS;Nombre d'élèves en ULIS;Nombre d'élèves en UEEA;Nombre d'élèves en CP hors ULIS;Nombre d'élèves en CE1 hors ULIS;Nombre d'élèves en CE2 hors ULIS;Nombre d'élèves en CM1 hors ULIS;Nombre d'élèves en CM2 hors ULIS;num_ligne
2013;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0921877R;ECOLE ELEMENTAIRE PUBLIQUE;CASTEJA;SECTEUR PUBLIC;SANS OBJET;SANS OBJET;14.0;308.0;0.0;308.0;0.0;0;70.0;66.0;69.0;53.0;50.0;243461
2013;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0921065H;ECOLE PRIMAIRE PRIVEE;SAINT JOSEPH DU PARCHAMP;SECTEUR PRIVE;SANS OBJET;SANS OBJET;21.0;625.0;178.0;447.0;0.0;0;81.0;90.0;91.0;94.0;91.0;243466
2013;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0921884Y;ECOLE MATERNELLE PUBLIQUE;FORUM;SECTEUR PUBLIC;SANS OBJET;SANS OBJET;5.0;112.0;112.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;243468
2013;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0920439C;ECOLE ELEMENTAIRE APPLICATION;SAINT-DENIS;SECTEUR PUBLIC;SANS OBJET;SANS OBJET;13.0;290.0;0.0;281.0;9.0;0;58.0;72.0;58.0;43.0;50.0;243477
2013;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0920571W;ECOLE MATERNELLE PUBLIQUE;SEVRES;SECTEUR PUBLIC;SANS OBJET;SANS OBJET;4.0;109.0;109.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;243479
2013;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0921258T;ECOLE ELEMENTAIRE APPLICATION;LES GLACIERES;SECTEUR PUBLIC;SANS OBJET;SANS OBJET;15.0;403.0;0.0;403.0;0.0;0;79.0;83.0;88.0;75.0;78.0;243483
2013;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0921899P;ECOLE PRIMAIRE PRIVEE;RAMBAM;SECTEUR PRIVE;SANS OBJET;SANS OBJET;21.0;604.0;178.0;426.0;0.0;0;81.0;81.0;89.0;81.0;94.0;243485
2012;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0922225U;ECOLE ELEMENTAIRE PUBLIQUE;SEVRES;SECTEUR PUBLIC;SANS OBJET;SANS OBJET;17.0;388.0;0.0;378.0;10.0;0;85.0;84.0;73.0;71.0;65.0;191184
2012;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0920553B;ECOLE MATERNELLE PUBLIQUE;POINT DU JOUR;SECTEUR PUBLIC;SANS OBJET;SANS OBJET;10.0;276.0;276.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;191191
2012;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0921064G;ECOLE PRIMAIRE PRIVEE;DUPANLOUP;SECTEUR PRIVE;SANS OBJET;SANS OBJET;29.0;842.0;242.0;600.0;0.0;0;118.0;116.0;111.0;127.0;128.0;191201
2012;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0921899P;ECOLE PRIMAIRE PRIVEE;RAMBAM;SECTEUR PRIVE;SANS OBJET;SANS OBJET;21.0;617.0;178.0;439.0;0.0;0;87.0;82.0;84.0;93.0;93.0;191207
2012;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0920195M;ECOLE ELEMENTAIRE PUBLIQUE;BILLANCOURT;SECTEUR PUBLIC;SANS OBJET;SANS OBJET;16.0;392.0;0.0;392.0;0.0;0;73.0;72.0;77.0;86.0;84.0;191209
2012;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0920587N;ECOLE MATERNELLE PUBLIQUE;DOME;SECTEUR PUBLIC;SANS OBJET;SANS OBJET;8.0;214.0;214.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;191211
2012;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0921794A;ECOLE MATERNELLE PUBLIQUE;BELLE FEUILLE;SECTEUR PUBLIC;SANS OBJET;SANS OBJET;8.0;213.0;213.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;191214
2010;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0922666Y;ECOLE PRIMAIRE PUBLIQUE;ROBERT DOISNEAU;SECTEUR PUBLIC;SANS OBJET;SANS OBJET;9.0;202.0;114.0;88.0;0.0;0;27.0;19.0;20.0;12.0;10.0;85204
2010;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0920195M;ECOLE ELEMENTAIRE PUBLIQUE;BILLANCOURT;SECTEUR PUBLIC;SANS OBJET;SANS OBJET;16.0;409.0;0.0;409.0;0.0;0;74.0;81.0;89.0;79.0;86.0;85205
2010;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0922552Z;ECOLE ELEMENTAIRE PUBLIQUE;MAITRE JACQUES;SECTEUR PUBLIC;SANS OBJET;SANS OBJET;10.0;255.0;0.0;255.0;0.0;0;54.0;56.0;51.0;50.0;44.0;85219
2010;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0920521S;ECOLE MATERNELLE D APPLICATION;LAZARE HOCHE;SECTEUR PUBLIC;SANS OBJET;SANS OBJET;10.0;264.0;264.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;85221
2010;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0920571W;ECOLE MATERNELLE PUBLIQUE;SEVRES;SECTEUR PUBLIC;SANS OBJET;SANS OBJET;5.0;127.0;127.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;85223
2010;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0920572X;ECOLE MATERNELLE PUBLIQUE;SILLY;SECTEUR PUBLIC;SANS OBJET;SANS OBJET;8.0;204.0;204.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;85224
2010;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0921256R;ECOLE PRIMAIRE PUBLIQUE;SILLY;SECTEUR PUBLIC;SANS OBJET;SANS OBJET;14.0;341.0;0.0;341.0;0.0;0;49.0;68.0;67.0;75.0;82.0;85227
2010;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0921529M;ECOLE ELEMENTAIRE PUBLIQUE;ESCUDIER;SECTEUR PUBLIC;SANS OBJET;SANS OBJET;16.0;386.0;0.0;386.0;0.0;0;74.0;76.0;78.0;83.0;75.0;85228
2017;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0921529M;ECOLE ELEMENTAIRE PUBLIQUE;ESCUDIER;SECTEUR PUBLIC;0;0;13.0;335.0;0.0;335.0;0.0;0;72.0;84.0;62.0;69.0;48.0;447960
2017;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0921877R;ECOLE ELEMENTAIRE PUBLIQUE;CASTEJA;SECTEUR PUBLIC;0;0;12.0;273.0;0.0;273.0;0.0;0;51.0;52.0;64.0;55.0;51.0;447963
2017;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0920551Z;ECOLE MATERNELLE PUBLIQUE;SEINE;SECTEUR PUBLIC;0;0;6.0;142.0;142.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;447968
2017;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0921256R;ECOLE PRIMAIRE PUBLIQUE;SILLY;SECTEUR PUBLIC;0;0;9.0;232.0;0.0;232.0;0.0;0;51.0;51.0;57.0;48.0;25.0;447970
2017;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0920395E;ECOLE ELEMENTAIRE PUBLIQUE;FERDINAND BUISSON;SECTEUR PUBLIC;0;0;19.0;470.0;0.0;470.0;0.0;0;93.0;100.0;91.0;105.0;81.0;447974
